mapid	tags	description
hrbrmstr_2019_17	world,choropleth,crime,shipping	I pondered a bit on what to do for today’s challenge since there are many types of zones: environmental… temperate… time… After checking out some of my older blog posts, I went back over to my {asam} package (we used this in a previous challenge) which has a shapefile I made from the National Imagery and Mapping Agency (NIMA)/National Geospatial-Intelligence Agency (NGA) Catalog of Hydrographic Products. There are 9 ASAM global regions and 52 ASAM global subregions. These are referenced in REGION and SUBREGION fields in the returned {sf} object. I’m classifying these as zones for the sake of this challenge. What is an NIMA/ASAM region/subregion? Well, for their use, the world is divided into nine regions: each corresponding to the geographic limits of one of the nine regions in the NIMA catalog. Each region is further divided into numbered subregions. The first digit of all five-digit chart numbers indicates the geographic region while the first two digits of all five-digit chart numbers refer to the geographic subregion. That may be super dry commentary, but at least they’ve got a data strategy.
hrbrmstr_2019_18	world,globe,internet,crime,interactive	The $DAYJOB (as of the production date of this tome) provides lots of fun data to work with. Sadly, most of it doesn’t belong in a world-geography context. However, IP addresses do have some notion of geolocation information associated with them. I decided to abuse my data for today’s challenge and use the {threejs} package — which wraps the three.js javascript library — to plot honeypot attack data on a 3D globe (i.e. a 3D “pew pew” map).
hrbrmstr_2019_19	usa,new england,light,raster	We live in rural Maine for many reasons, one of which is to have the privilege of being able to see more of the night sky than most city folk are able to view. This light pollution is tracked by NASA’s Black Marble project. I decided to compare known New England urban areas to the Black Marble data to both show that these areas do contribute to this light pollution and to see just where these centers of light pollution are located.
hrbrmstr_2019_20_1	usa,counties,choropleth,agriculture,green	The United States Department of Agriculture (USDA) performs an annual agriculture census and makes the data available for use by anyone who can decipher their yearly-changing code book.
hrbrmstr_2019_20_2	usa,counties,choropleth,agriculture	The United States Department of Agriculture (USDA) performs an annual agriculture census and makes the data available for use by anyone who can decipher their yearly-changing code book.
hrbrmstr_2019_20_3	usa,charts,small multiples,agriculture,internet	The United States Department of Agriculture (USDA) performs an annual agriculture census and makes the data available for use by anyone who can decipher their yearly-changing code book.
hrbrmstr_2019_21	usa,main,counties,climate change,sea level rise,zoom	Global warming is “a thing” and sea-level rise has been a phenomenon that many coastal communities have had to deal with for quite some time now. I wanted to see how sea-level rise would impact my environment. Thankfully, NASA makes that easy with their Sea Level Rise Datasets which are predictions based off on historical observations sound science.
hrbrmstr_2019_22	usa,maine,counties,choropleth,walking,transport	_
hrbrmstr_2019_23	usa,maine,counties,choropleth,points,animals,birds	_
hrbrmstr_2019_24	usa,maine,counties,population,cartogram	_
hrbrmstr_2019_25	usa,maine,climate,weather,charts,lines	_
hrbrmstr_2019_26	usa,maine,water,lines	_
hrbrmstr_2019_27	usa,maine,small multiples,density,land	_
hrbrmstr_2019_28	europe,africa,asia,italy,literature,points	_
hrbrmstr_2019_29	fictional,literature,fantasy,westeros,essos,game of thrones,a song of ice and fire	_
hrbrmstr_2021_01	usa,points,crime	Where the January 6th 2021 Capitol Insurrectionists are from
hrbrmstr_2021_02	iceland,lines,gps,interactive	Took the Apple Watch data from our Iceland activities and put them on a (poorly annotated) {leaflet} map
hughagraham_2021_01_1	world,elevation,points,grid	Global elevation (sort of)
hughagraham_2021_01_2	world,elevation,points,grid,animation	And the spinning version. This was a lot harder than it should have been and it is glitchy as hell... geom_sf was not my friend!
hughagraham_2021_01_3	mars,elevation,points,grid	This one is kind of silly but a bit of fun
hughagraham_2021_02	indonesia,mount sinabung,mexico,popocatepetl,democratic republic of congo,mount myiragongo,volcanoes,elevation,contours,lines	Had some fun plotting active volcanoes
hughagraham_2021_03	new zealand,nz,elevation	Last night I started to see lots of polygon maps from NZ as the new day arrived and so I wanted a bit of that action. Elevation points buffered by the inverse of their elevation*50 and coloured in. And now I've just discovered the {Manu} 📦 which has colours for different NZ birds! I just had to redo this with the Kākā palette!
hughagraham_2021_04	world,hexagons,grid,animation	Did anyone ask for a Earth disco ball? No. But here it is anyway.
hughagraham_2021_05	uk,wales,rivers,lines,osm,openstreetmap,animation	The Rivers and Streams of Wales from high to low and back again
hughagraham_2021_06	uk,england,lidar,elevation,red,greed,blue	I'm catching up so I've combined Days 6, 7 and 8 into RGB. Messing around with English estuary LiDAR along with the some turbo colours...
hughagraham_2021_09_1	uk,england,dartmoor	Testing out @schochastics awesome new Package {roughsf}. A map of Dartmoor's Tors with #rayshader ambient_shade, converted to polygon and made sketchy!
hughagraham_2021_09_2	uk,england,dartmoor	I also had a start at this one before I thought of the roughsf idea so I thought I may as well share it too. Here, we take the shade from #rayshader and import to #tmap to do the rest of the work.
hughagraham_2021_10	uk,isles of scilly,raster	Just a map of The Isles of Scilly. I'll have to visit one day.
hughagraham_2021_11	uk,england,london,3d,lidar	City of London
hughagraham_2021_16	russia,petropavlovsk-kamchatsky,3d,buildings	One of the most remote cities in the world - Petropavlovsk-Kamchatsky buildings (+surrounding areas) on the kamchatka peninsula. I'm loving blending rayshader with tmap!
hughagraham_2021_17	world,globe,3d,animation	Land
hughagraham_2021_18	world,globe,3d,animation	I pretty much had to do this all over again. Didn't quite work out as planned but 🤷. Here's inverted Ocean floor elevation
hughagraham_2021_19	france,corsica,3d	Just a place I have fond memories of.
i_nicolis_2021_13	greece,bathymetry	Using Natural Earth Data, a bathymetry map around the Calypso deep, deepest part of the Mediterranean Sea, SE of Greece.
Iawmatthew_2021_11	usa,devils tower,elevation,3d,animation	A very quick experiment with {rayvista}: a spinning view of Devils Tower, Wyoming
Iawmatthew_2021_12	europe,population,cartogram	A slightly strange looking cartogram of European population
issa_madjid_2021_01	africa,points	Africa, 1 continent, 10194 points.
issa_madjid_2021_02	france,lines,sport,small multiples	Let's visualize the movements of French Ligue 1 clubs.
issa_madjid_2021_03	world,covid19,charts	557 million. It is the number of people teleworking in spring 2020 in the world.
issa_madjid_2021_04	usa,health,hexagons,cartogram,bivariate	Let's visualize the relationship between Covid-19 death rate and obesity in United States.
issa_madjid_2021_05	france,dijon,streets,lines,osm,openstreetmap	The city of Dijon, France.
IvaBrunec_2021_01	usa,philadelphia,points,trees	The Philadelphia street tree inventory.
IvaBrunec_2021_02	usa,philadelphia,lines,transport	Philly bike network (blue) overlaid on the Vision Zero high injury network (orange). Green = overlap. Might highlight some places for protected bike lanes? 🚴‍♀️
IvaBrunec_2021_03	europe,choropleth	Three Europes: wine, beer, spirits (in L alc/capita, in 2015). Interesting N⬇️S, W➡️E gradients. (Also, might have guessed a higher beer value for my native Slovenia.)
IvaBrunec_2021_04	usa,hexagons,density,animals	Cardinal sightings reported on @GBIF from Oct-Dec 2020. 🐦Warmer colors = higher density of occurrence (log value)
IvaBrunec_2021_06	usa,fires,climate,animation,red	Wildfires in the contiguous US between 2010-2020. (animation)
IvaBrunec_2021_07	world,choropleth,trees,animation,green	Forest cover as % of total land area. (animation) Over the last decade, the world has lost ~ 4.5 million hectares of forest per year - a noticeable percentage of the total land area in some cases.
IvaBrunec_2021_08	europe,alps,blue	A slice of the Alps. 🏔️ (& a foray into rayshader.)
IvaBrunec_2021_09	uk,england,london,black and white,lines,roads,osm,openstreetmap	Leaning into the grey and into nostalgia with a map of (a tiny part of) London.
IvaBrunec_2021_10_1	world,raster,animals	Phytoplankton concentration in September 2021.
IvaBrunec_2021_10_2	usa,elevation,3d,raster	Map of Olympic peninsula (WA, USA)
IvaBrunec_2021_11	canada,toronto,population,3d	This one was fun to make: Toronto population density by postcode in 2016. I happen to be included in this count!
izzy_youngs_2021_05	netherlands,amsterdam,lines,osm,openstreetmap	I learned how to use the Overpass API with osmplotr to make maps using OpenStreetMap data in R! Just a simple map, but wow R is amazing 😍
izzy_youngs_2021_09	usa,reno,osm,openstreetmap,red,green,blue,black and white,small multiples	A simple faceted map with more OSM data for Days 6 through 9, this time focused on features of my home town.
Jamie_Bio_2021_02	uk,england,london,roads,lines,walking,osm,openstreetmap	I was motivated to recreate something similar to the fab #isochrone plot by @MRuehringer but using R. It turned out a good opportunity to write a little post on producing such maps in R.
JolienNoels_2021_07	europe,cartogram,energy,infrastructure,green	Electricity generation from fossil fuels
kyle_e_walker_2021_01	usa,minnesota,hennepin county,population,ethnicity,points,dot density	Group-wise dot-density maps
kyle_e_walker_2021_02	usa,new york city,nyc,roads,lines	The tigris package isn't just for Census boundaries; you can pull roads data from the @uscensusbureau TIGER/Line database right into R.
kyle_e_walker_2021_03	usa,dallas,fort worth,choropleth	The spdep package helps us represent neighborhood relationships with polygon contiguity, then explore and map clusters in @uscensusbureau data using stats like local Moran's I.
kyle_e_walker_2021_04	usa,fort bend,hexagons,grid,choropleth	Hexagonal grids can be generated in the sf #rstats package with `st_make_grid(square = FALSE)`, then matched to #tidycensus data with areal interpolation and `st_interpolate_aw()`
kyle_e_walker_2021_05	usa,iowa,transport,health,osm,openstreetmap	@mapbox's routing services are built on OpenStreetMap data and available in #rstats with the mapboxapi package. Use it to calculate and map travel-times to locations, like trauma centers in Iowa
kyle_e_walker_2021_06	usa,mississippi,choropleth,red	ACS microdata, available in the {tidycensus} package with the `get_pums()` function, allow for custom tabulations of data that can be mapped at PUMA geographies.
kyle_e_walker_2021_07	usa,new york city,nyc,points,dot density,population,green	@nhgis includes a wealth of historical US Census data.  In Ch.11 of my book, learn how to map historical Census data like the dot-density map of Italy-born NYC residents in 1910.
kyle_e_walker_2021_08	mexico,population,choropleth,blue	The inegiR and mxmaps #rstats packages offer access to a wealth of demographic and geographic data for Mexico.
kyle_e_walker_2021_09_1	usa,fort worth,choropleth,mapbox	🚨 New feature in the new release of mapboxapi!🚨 Use `get_static_tiles()` to pull down a @Mapbox Studio style (like my custom monochrome style shown in the maps) for use as a basemap in tmap (here) or ggplot2 (also in gallery)
kyle_e_walker_2021_09_2	usa,fort worth,choropleth,mapbox	🚨 New feature in the new release of mapboxapi!🚨 Use `get_static_tiles()` to pull down a @Mapbox Studio style (like my custom monochrome style shown in the maps) for use as a basemap in ggplot2 (here) or tmap (also in gallery)
kyle_e_walker_2021_10	usa,fort worth,raster,heatmap	Take a look at the linked code to learn how to interpolate @uscensusbureau to a raster using inverse distance weighting and map it (though note the influence of the tract centroids on the result)
kyle_e_walker_2021_11	usa,texas,3d,lines	Three-dimensional visualization of US migration flows is straightforward with the mapdeck package and @buddyherms' innovative approach to flows data in #tidycensus.
leeolney3_2021_01	singapore,shops,points	Supermarket locations in Singapore.
leeolney3_2021_02	australia,melbourne,lines,water,infrastructure	Water supply main pipelines from Melbourne Water Corporation. Today i tried out {tmap} with the [Geocompution with R] book, from this week's #TidyTuesday.
leeolney3_2021_03	canada,toronto,urban	Heritage Conservation Districts in Toronto, 2021.
leeolney3_2021_04	usa,hexagons,cartogram,choropleth	Number of registered fire departments in the US (Nov 2021), data from U.S. Fire Administration.
leeolney3_2021_05	usa,texas,the woodlands,osm,openstreetmap	Park spaces in The Woodlands, U.S.
leeolney3_2021_06	canada,toronto,transport,urban,red	Red light camera locations in the City of Toronto as of Nov 1, 2021.
leeolney3_2021_07	australia,melbourne,trees,green	Tree canopy extents on both private and public property in East Melbourne, as of Aug 12, 2021.
leeolney3_2021_08	usa,texas,travis county,water,blue	Water bodies within Travis County, as of Nov 1, 2021.
loreabad6_2021_01	ecuador,points	Populated areas in continental Ecuador
loreabad6_2021_02	ecuador,lines,transport,rail,roads	Ferrocarril al cielo | Railway to heaven. The Ecuadorian railway had a short reach and a brief life, from 1872 until its final demise in 2020. This link between mountain and sea was attibuted the hardest construction work in the world. Roads (grey in bg) swiftly overtook the usefulness of the rail, which became a touristic attraction. By its end, funding was cut and now remains as national history.
loreabad6_2021_03	ecuador,osm,openstreetmap	Natural protected areas in continental Ecuador
loreabad6_2021_04	ecuador,morona santiago,hexagons,cartogram,choropleth,osm,openstreetmap	Where is the nearest waterfall? Distance to waterfalls in the Morona Santiago province in the Amazon region of Ecuador
loreabad6_2021_05	spain,cuenca,osm,openstreetmap,metamap,points	This is a tribute map to all those @openstreetmap constributors out there! I use OSM data via #osmdata so often I just needed to find those mappers and say a big thank you!
loreabad6_2021_06	spain,cuenca,osm,openstreetmap,red	My home city Cuenca is characterized by its red rooftops!
loreabad6_2021_07	ecuador,cahuasqui,osm,openstreetmap,green	#Sentinel2 true color composite. Vegetation cover in Cahuasqui, Imbabura.
loreabad6_2021_08	ecuador,guayaquil,blue,agriculture,aquaculture	#Sentinel2 false color composite. Shrimp plantations, Guayaquil gulf
loreabad6_2021_09	ecuador,quito,transport,lines,black and white,osm,openstreetmap	Travel times by public transport from Quito city center assuming a speed of 40km/h
loreabad6_2021_10	ecuador,climate,small multiples,raster	I am usually asked how hot my country is, and I usually say, not as hot as you may think! Worldclim data is a wonderful source for #dataviz
loreabad6_2021_11	ecuador,el altar,3d,elevation,osm,openstreetmap	The trail to “El Altar”. One of the most beautiful hikes I ever did in the Andes, all in company of my friends and family ♥️
loukesio_2021_02	greece,lines,rivers	Plotting the rivers of Greece
loukesio_2021_04	greece,hexagons,grid,animals	Here is a hex map of Greece with the distribution of four critically endangered species
lxndrkp_2020_01	germany,friedrichshain-kreuzberg,cars,roads,points,interactive	There are 80,808 cars registered in Friedrichshain-Kreuzberg (2017). If all cars would start driving at the same time - it’d get pretty crowded 🚗🚗 🚗
lxndrkp_2020_02	germany,flights,lines,interactive	About 10% of all flights from German airports are domestic flights - so starting in Germany and landing in Germany.
lxndrkp_2020_03	germany,berlin,voronoi,interactive	The catchment area of boulder gyms in Berlin. Playing around with Voroni maps: “Voronoi polygons are created so that every location within a polygon is closer to the sample point in that polygon than any other sample point.” Here: All boulder gyms (that I know of) in Berlin. If everyone would go his or her closest gym (by beeline), this would be the catchment areas of each boulder gym.
lxndrkp_2020_04	germany,stuttgart,traffic,3d,interactive,grid,hexagon	Traffic accidents in Stuttgart. The ‘Statistikportal’ offers a great data set on (almost) all accidents in Germany as single points. The mapdeck package auto aggregates point data into hexagons - so no need for data pre-processing. I chose to crop the data to the outline of Stuttgart - but any other region or city can easily be used with the code by setting a different outline.
lxndrkp_2020_06	world,points,interactive	Rotpunkt. Today is another one on climbing - it’s less about the mapping tools. In sport climbing, redpointing is free-climbing a route, while lead climbing, after having practiced the route beforehand. The English term “redpoint” is a loan translation of the German Rotpunkt coined by Kurt Albert in the mid-1970s at Frankenjura. He would paint a red X on a fixed pin so that he could avoid using it for a foot- or handhold. Once he was able to free-climb the entire route, he would put a red dot at the base of the route. In many ways, this was the origin of the free climbing movement that led to the development of sport climbing ten years later. This map shows all notable ascents according to Wikipedia.
lxndrkp_2020_08	germany,yellow,light,heatmap,interactive	Hours of sunshine in Germany 2019. Where in Germany was a lot of sunshine in 2019 - where was it rather grey?
lxndrkp_2020_09	germany,berlin,roads,lines,interactive	The life lines of Berlin. A fast way to find major streets within a city, without searching for any data on traffic amounts, street types or street width: Take random start and end points within the city and run a routing to find routes connecting the start and end points. Then aggregate the single street segments on how often they were used. You then get an image of the major city axes. Big thanks to the stplanr package, which makes this easily done within a few lines of code!
lxndrkp_2020_10	germany,berlin,grid,interactive	Which cuisine can you eat where in Berlin?
lxndrkp_2020_11	europe,3d,elevation	Mapping the Alps in 3D. Playing around with the mapdeck::add_terrain() function. Not perfect yet, but works for a first try.
lxndrkp_2020_13	germany,berlin,raster,interactive	Noise level in Berlin. OpenGIS Web Services (OWS) define geospatial standards to provide geo data, like WFS (Web Feature Service) for vector data and WMS (Web Map Service) for raster data. Yet, these standards are not widely known with developers or data analysts who are used to working with ESRI-shape files, geojsons, etc. Some spatial data infrastructure providers, as the Geodatenportal Berlin (FIS-Broker) only offer these services and no further file download. There are some resources on how to use those services in R, e.g. here some general info and here more specific for the Berlin FIS-Broker. Though, all example code was on retrieving vector data of WFS services. For todays challenge “raster” I wanted to try out, how easy it is to get raster data (WMS) straight into R. It’s not entirely straight forward, as you need to find some parameters (e.g. “layers”) through the getCapabilities query first. Then you retrieve a PNG where you need to set a proper georeference again, with a bounding box and CRS. Therefore, I still find the easiest way for a one time download to use QGIS (I wrote a blog post on how to do that at the Technologiestiftung Berlin), as QGIS does all this setting the correct parameters already for you.
lxndrkp_2020_14	germany,interactive	In 2019 121.500 square km of rain forest had been destroyed. But how much is that? This map shows a polygon as large as the destroyed area that can be moved to any spot on the map to compare it to.
lxndrkp_2020_20	germany,berlin,population,interactive	Movement within Berlin (“Binnenwanderung”). Many people are moving to Berlin from other places - especially the center - “im Ring” - is popular for people comiing to the city. But once in Berlin - how do people move between the different districts (“Binnenwanderung”)? More people move from the center districts to the outskirts (Data from 2013). Click on a district to see where the people are coming from that move to this district. Click events on leaflet maps are possible with shiny observe events.
lxndrkp_2020_22	germany,berlin,transport,trains,animation,interactive	U-Bahn trains moving through Berlin. All U-Bahn trains moving through the city on a regular Monday using the {mapdeck::add_trips()} function.
lxndrkp_2020_30	world,interactive	Create your own basemap with Mapbox Studio. Ever wanted pink rivers or lilac streets on your basemap? That can easily be done with Mapbox Studio.
mattdray_2021_01	fictional,pokemon,kanto,points	Ever wanted to extract coordinates from images of fictitious maps? I extracted 'em all for Kanto from #pokemon
MikeMahoney218_2021_09	usa,mount rainier,raster,3d,elevation,black and white,osm,openstreetmap	Here's a map showing Mt. Rainier, the most prominent mountain in the contiguous United States.
MikeMahoney218_2021_10	usa,mount marcy,raster,elevation,osm,openstreetmap	Here's a map made from raster data showing contour lines (colored by elevation) centered on Mt. Marcy in the Adirondack Park of New York!
MikeMahoney218_2021_11	usa,mount washington,3d,osm,openstreetmap	Here's Mt. Washington done up in Unity via the {terrainr} package.
NearAndDistant_2021_01	uk,england,london,points	#TidyTuesday Week 45: The London Postbox
NearAndDistant_2021_04	uk,england,manchester,hexagons,cartogram,choropleth,benefits	The Manchester worker bee is one of the best-known symbols of Manchester and has been an city emblem for over 150 years. The bee denotes Mancunians' hard work ethic and being a hive of activity.
NearAndDistant_2021_05	uk,scotland,edinburgh,osm,openstreetmap	Edinburgh is built upon an extinct volcano, which erupted around 340m years ago. In the hundreds of millions of years since, the volcano has been buried beneath other rocks and now a city.
NearAndDistant_2021_06	uk,britain,politics,elections,red	The UK Red Party. 2019 General Election: Labour Seats and Voting Strength. “It's Time for Real Change”... shame voters didn't agree.
NearAndDistant_2021_07	uk,england,london,richmond upon thames,green	💚 Richmond appreciation post. % of Boroughs which are green spaces in London.
neilcfd1_2021_11	denmark,copenhagen,3d,animation	I'm very enamoured of the City Dome series by @CraigTaylorViz, thought I'd attempt something in #rayshader #rstats.  This was the initial test just using a hemisphere. I'll point you towards this gist by @blueparrot which shows the process far better than my messy code would
npalomin_2021_06	uk,england,london,manchester,west midlands,avon,cambridgeshire,oxfordshire,transport,red	Car flows patterns
npalomin_2021_07	uk,england,london,manchester,west midlands,avon,cambridgeshire,oxfordshire,transport,cycling,green	Cycling is the greenest and most space-efficient mode of individual travel
NRatnaweera_2021_02	switzerland,lines	I visualize the effect of the transition from Switzerland's old coordinate system to the new one. Its a crazy, stormy pattern!
nrennie35_2021_01	uk,scotland,glasgow,points,shops	Here's a map of all the (licensed) places you can buy alcohol in Glasgow.
nrennie35_2021_02	world,glasgow,namess,lines	First time using the {spData} and {tmap} packages to look at all the other places called Glasgow.
nrennie35_2021_03	uk,scotland,glasgow,population,choropleth	Looking at populations in different areas of Glasgow.
nrennie35_2021_04	uk,scotland,glasgow,population,choropleth,hexagrams	Replicating day 3's polygon map showing population using the {hexbin} package in R.
nrennie35_2021_05	uk,scotland,glasgow,ponts,shops,osm,openstreetmap	Looking at Glasgow's pubs, bars, restaurants, and cafes. First time using the {osmdata} package in R which was really easy to use.
nrennie35_2021_06	uk,britain,infrastructure,points,red,osm,openstreetmap	Looking at all the post offices in Great Britain.
nrennie35_2021_07	uk,scotland,glasgow,edinburgh,dundee,aberdeen,inverness,perth,stirling,green,osm,openstreetmap	Looking at all the parks and green spaces in Scotland's seven cities.
nrennie35_2021_08	uk,scotland,glasgow,edinburgh,dundee,perth,inverness,aberdeen,stirling,blue,lines,rivers,osm,openstreetmap	Looking at rivers and waterways in Scotland's seven cities.
nrennie35_2021_09	uk,scotland,glasgow,lines,streets,osm,openstreetmap	Inspired by @issa_madjid, using OpenStreetMap to plot the streets of Glasgow
nrennie35_2021_10	uk,scotland,elevation,raster	Inspired by @Amit_Levinson's map, I made this minimalist map of elevation in Scotland.
richard_vogg_2020_01	chile,points,earthquakes	Earthquakes in Chile in the 21st century.
richard_vogg_2020_02	chile,transport,rail,lines	Can you imagine a country that is better shaped to have lots and lots of trains? Chile has a long and interesting history but currently the active rails are (almost) only used for cargo transport.
richard_vogg_2020_03	chile,water	Visualizing the lakes (lago), lagoons (laguna), estuaries (estero) and water reservoirs (embalse/tranque) in Valparaíso and Viña del Mar in Chile.
richard_vogg_2020_04	chile,santiago,hexagons,grid,choropleth,politics,elections	Do you want a new Constitution? - was one of the question asked in Chile's plebiscite last week. In the end almost 80% of the country voted Apruebo - Yes! This map shows the results of the capital Santiago.
richard_vogg_2020_05	chile,los lagos,water,blue	There are a lot of lakes in Los Lagos region in the south of Chile. This magnificent landscapes with lakes and volcanoes invite to go hiking.
richard_vogg_2020_06	chile,choropleth,red	Forest fires are a frequent phenomenon in Chile - especially in the central regions during summer.
richard_vogg_2020_07	germany,points,green	Showing the top 10 greenest cities in Germany by green area per inhabitant.
richard_vogg_2020_08	world,food,choropleth,yellow	How much do you have to pay to buy 1kg of bananas in different countries? A wide range of prices between $0.58 in Pakistan and $3.75 in South Korea.
richard_vogg_2020_09	chile,valparaiso,lines,roads,osm,openstreetmap	Valparaíso is a coastal city in central Chile (I lived there during the last three years). It is a labyrinth of small streets and stairs in the hills, full of breathtaking views over the ocean and magnificent street art).
richard_vogg_2020_10	germany,grid,choropleth,covid19	Showing today's 7 day incidence values for COVID cases in Germany.
richard_vogg_2020_11	peru,alpamayo,elevation,3d,animation	The Alpamayo (5947m) in Peru is considered the most beautiful mountain on Earth. I found elevation data, but the 3D model can't show the whole beauty. Take a minute and look for images online, it's definitely worth it.
richard_vogg_2020_13	germany,grid,raster,climate,animation	Precipitation in Germany throughout 2019.
richard_vogg_2020_14	south america,grid,raster,climate	Looking at precipitation data we can see that annual precipitation has changed a lot during the last 10 years compared to the 30 years before.
richard_vogg_2020_15	world,small multiples,trade,lines	In 2008 the US exported a lot of plastic waste to China + Hong Kong. In 2018 the exports look different due to China's decision to stop importing plastic waste.
richard_vogg_2020_16	spain,canary islands,tenerife	12 years ago my interest for geography began when visiting Tenerife. Wind always comes from Northeast and clouds are hanging on one side of the island. I finally understood why we were learning about wind zones in geography classes.
richard_vogg_2020_17	europe,historical	The European Union went through some change in the last decades. The french institute IGN recalculates the new center after new countries join or leave the UN.
richard_vogg_2020_18	world,land,small multiples	Which percentage of each country is covered with natural vegetation? What about cropland and artificial surfaces? These four maps show a first overview, the dataset from OECD.stat contains much more.
richard_vogg_2020_19	germany,choropleth	When we want to bring data from a spreadsheet (with country or city names) to a map, these names often do not exactly match other data. Fuzzy matching can help to overcome this issue.
richard_vogg_2020_20	europe,choropleth	I am a big fan of the 16personalities website. Apart from hosting the great survey they publish country specific results.
richard_vogg_2020_21	aral sea,small multiples,satellite	I made first steps with satellite images and geotiff today. The Aral Sea was once the 4th largest lake in the world. Now it holds less than 10% of its original water volume.
richard_vogg_2020_22	europe,africa,small multiples,animals	When it gets cold in Eastern Europe, white storks start a long journey to East Africa. Showing the routes of three storks via Israel.
richard_vogg_2020_23	europe,choropleth,crime	Talking about boundaries that should not be crossed: Violence against women is a problem that is still shockingly big and present, even in Europe.
richard_vogg_2020_24	spain,canary islands,tenerife,elevation,3d	When you stand on the peak of Teide mountain (3718m) on Tenerife at sunrise, you can see the majestic shadow of the mountain projected on the ocean.
richard_vogg_2020_25	germany,small multiples,animation,choropleth,covid19	Showing monthly development of COVID cases in Germany.
richard_vogg_2020_27	germany	Last week we compared several alcohol-free wheat beers with my family. With only 6 participants and 12 breweries, the results are far from being representative, but still interesting (at least for our future decisions).
richard_vogg_2020_28	sport	Kylian Mbappé was only 19 years old when France and Argentine played the 2018 World cup quarter finals. He scored two goals at the 4-3 win and was the Player of the Match.
richard_vogg_2020_29	chile,europe,globe	I am always impressed of how long Chile is compared to Europe.
richard_vogg_2020_30	world	Today I was reviewing what I learned during the last 30 days and noticed that it was a lot! Thanks to @tjukanov for the organization.
richard_vogg_2021_01	chile,earthquakes,points	I decided to continue where I stopped last year and worked on the map showing earthquakes in Chile in the last 21 years.
richard_vogg_2021_02	germany,transport,rail,lines	Today I worked on a map showing the rail network in Germany.
richard_vogg_2021_03	europe,simplification	I looked at the Geocomputation with R book (#TidyTuesday). I found it interesting to see that there are several algorithms to simplify polygons. When Italy loses the shoe shape, I feel it is time to stop.
richard_vogg_2021_04	africa,hexagons,cartogram,health,inset	Looking at main death causes in Africa. As some countries are smaller, the geogrid package by @iammrbailey helps to show each country in equal size. Data from: @IHME_UW
richard_vogg_2021_05	germany,wurzburg,wuerzburg,green,osm,openstreetmap	As a kid I spent many hours in the Botanical Garden of Würzburg, so I decided to map it with OpenStreetMap in R. Does anyone know of an elegant way to find all the tags in an area and assign them colors?
richard_vogg_2021_06	world,trade,exports,food,lines,edge bundling,red	I finally had time to work with @schochastics great package {edgebundle}. Mexico, the Netherlands and Spain were the three main exporters of tomatoes in 2018.
richard_vogg_2021_07	world,trade,exports,food,lines,edge bundling,green	This edgebundle map shows which countries export most olive oil and where it goes. The countries around the Mediterranean Sea + Chile + Argentina are the main exporters.
richard_vogg_2021_08	world,trade,exports,food,lines,edge bundling,blue,animation	The increasing amount of fish fillets shown in an animated map. China, Norway and Chile are thee three countries which export most fish fillets in 2019.
schochastics_2021_01	world,sport,points	More than 10,000 football grounds around the world
schochastics_2021_02	world,migration,lines,edge bundling	Global Migration network drawn using edge bundling
schochastics_2021_03	uk,england,manchester,buildings	Manchester City center (and beyond). Building colors are random and just for aesthetic reasons.
schochastics_2021_04	germany,population,hexagons,grid,density	Population density of Germany aggregated on 1km x 1km hexagons
schochastics_2021_05	germany,names,games,osm,openstreetmap	Monopoly Street Names in Germany. Some interesting visual patterns.
schochastics_2021_06	world,choropleth,flags,red	Countries with the color red in their flag 🟥
schochastics_2021_07	world,choropleth,flags,green	Countries with the color green in their flag 🟩
schochastics_2021_08	world,choropleth,flags,blue	Countries with the color blue in their flag 🟦
schochastics_2021_09	world,transport,flights,lines,edge bundling,pink	Global Flight Network (using edge-path bundling) in tints of pink
schochastics_2021_10	south america,topology	Topology of South America (vintage style)
schochastics_2021_11	sweden,population,density,3d	I just love those population density maps of @researchremora and I had to give it a try myself. This was also my first serious encounter with #rayshader.
schochastics_2021_12	usa,migration,edge bundling	Migration within the US.
schochastics_2021_13	europe,points	This is a recreation of my recreation of a map by Minard using NE data
schochastics_2021_16	world,points,population	Global Urban-Rural Catchment Areas with Eckert I projection.
schochastics_2021_17	world,trees	Less time for the challenge today so here is a low effort map of the share of forests around the globe
schochastics_2021_18	europe,rivers,water	River Networks and Basins. Probably my personal favorite from my contributions so far and what a lovely color palette turbo can be!
schochastics_2021_20	uk,transport,trains,animation	Because the UK rail system is in the news atm: here is ~24hours of train movements.
schochastics_2021_21	spain,canary islands,la palma,elevation	A simple stylized elevation map of La Palma
schochastics_2021_22	germany,choropleth	3 decades after the reunification, there are still (in)visible boundaries between East and West Germany
schochastics_2021_23	europe,built up area,density,3d	Built up area density in europe. Getting the hang of #rayshader now 🙂
schochastics_2021_24	world,france,trade,exports,historical	A humble try to recreate Minards map of french wine exports with contemporary data
schochastics_2021_25	germany,munich,interactive	A solution to the 'Traveling beer drinker problem': Optimal route between 114 beer gardens around Munich.
schochastics_2021_26	world,choropleth,sport	Something from my pet project over at http://soccerverse.com: home field advantage in world football.
schochastics_2021_27	world,fishing,heatmap	Global Fishing Efforts (Fishing Hours in 2020)
schochastics_2021_28	world,globe,animations	A very simply spinning hand-drawn globe. Learned a lot about projections today which are overall still a big mystery to me🧐
